T[676]: -0.001184, -0.001001 i
T[677]: -0.001010, -0.001025 i
T[678]: -0.000860, -0.001021 i
T[679]: -0.000733, -0.000999 i
T[680]: -0.000627, -0.000968 i
T[681]: -0.000539, -0.000931 i
T[682]: -0.000466, -0.000893 i
T[683]: -0.000405, -0.000854 i
T[684]: -0.000354, -0.000817 i
T[685]: -0.000311, -0.000782 i
T[686]: -0.000274, -0.000748 i
T[687]: -0.000244, -0.000717 i
T[688]: -0.000217, -0.000688 i
T[689]: -0.000194, -0.000662 i
T[690]: -0.000174, -0.000637 i
T[691]: -0.000157, -0.000614 i
T[692]: -0.000142, -0.000592 i
T[693]: -0.000129, -0.000572 i
T[694]: -0.000117, -0.000554 i
T[695]: -0.000107, -0.000537 i
T[696]: -0.000098, -0.000521 i
T[697]: -0.000089, -0.000507 i
T[698]: -0.000082, -0.000493 i
T[699]: -0.000075, -0.000480 i
T[700]: -0.000069, -0.000468 i
T[701]: -0.000064, -0.000457 i
T[702]: -0.000059, -0.000447 i
T[703]: -0.000054, -0.000438 i
T[704]: -0.000050, -0.000429 i
T[705]: -0.000046, -0.000420 i
T[706]: -0.000042, -0.000413 i
T[707]: -0.000039, -0.000406 i
T[708]: -0.000036, -0.000399 i
T[709]: -0.000033, -0.000393 i
T[710]: -0.000031, -0.000387 i
T[711]: -0.000028, -0.000381 i
T[712]: -0.000026, -0.000376 i
T[713]: -0.000024, -0.000372 i
T[714]: -0.000022, -0.000368 i
T[715]: -0.000020, -0.000364 i
T[716]: -0.000018, -0.000360 i
T[717]: -0.000016, -0.000357 i
T[718]: -0.000015, -0.000354 i
T[719]: -0.000013, -0.000351 i
T[720]: -0.000012, -0.000349 i
T[721]: -0.000010, -0.000346 i
T[722]: -0.000009, -0.000344 i
T[723]: -0.000008, -0.000343 i
T[724]: -0.000007, -0.000341 i
T[725]: -0.000005, -0.000340 i
T[726]: -0.000004, -0.000339 i
T[727]: -0.000003, -0.000339 i
T[728]: -0.000002, -0.000338 i
T[729]: -0.000001, -0.000338 i
T[730]: 0.000000, -0.000338 i
T[731]: 0.000002, -0.000338 i
T[732]: 0.000003, -0.000339 i
T[733]: 0.000004, -0.000339 i
T[734]: 0.000005, -0.000340 i
T[735]: 0.000006, -0.000341 i
